movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeMinutes,ratingCategory,genre01,genre02,genre03
tt7286456,1,Joker,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019,1600000,8.4,122,R,Crime,Drama,Thriller
tt4154796,2,Avengers: Endgame,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,1300000,8.4,181,PG-13,Action,Adventure,Drama
tt4154756,3,Avengers: Infinity War,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,1200000,8.4,149,PG-13,Action,Adventure,Sci-Fi
tt6751668,4,Parasite,Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,1000000,8.5,132,R,Drama,Thriller,""
tt7131622,5,Once Upon a Time..,Once Upon a Time in Hollywood,"A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",2019,878000,7.6,161,R,Comedy,Drama,""
tt1825683,6,Black Panther,Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",2018,856000,7.3,134,PG-13,Action,Adventure,Sci-Fi
tt8946378,7,Knives Out,Knives Out,"A detective investigates the death of the patriarch of an eccentric, combative family.",2019,796000,7.9,130,PG-13,Comedy,Crime,Drama
tt8579674,8,1917,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,703000,8.2,119,R,Action,Drama,War
tt4633694,9,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,2018,702000,8.4,117,PG,Action,Adventure,Animation
tt5463162,10,Deadpool 2,Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",2018,691000,7.6,119,R,Action,Adventure,Comedy
tt4154664,11,Captain Marvel,Captain Marvel,"Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",2019,624000,6.8,123,PG-13,Action,Adventure,Sci-Fi
tt6644200,12,A Quiet Place,A Quiet Place,A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,2018,613000,7.5,90,PG-13,Drama,Horror,Sci-Fi
tt6723592,13,Tenet,Tenet,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",2020,612000,7.3,150,PG-13,Action,Sci-Fi,Thriller
tt1727824,14,Bohemian Rhapsody,Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",2018,609000,7.9,134,PG-13,Biography,Drama,Music
tt6966692,15,Green Book,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,2018,605000,8.2,130,PG-13,Biography,Comedy,Drama
tt6320628,16,Spider-Man: Far from Home,Spider-Man: Far from Home,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",2019,577000,7.4,129,PG-13,Action,Adventure,Comedy
tt1270797,17,Venom,Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",2018,560000,6.6,112,PG-13,Action,Adventure,Sci-Fi
tt1477834,18,Aquaman,Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",2018,530000,6.8,143,PG-13,Action,Adventure,Fantasy
tt2527338,19,Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",2019,506000,6.4,141,PG-13,Action,Adventure,Fantasy
tt1677720,20,Ready Player One,Ready Player One,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",2018,502000,7.4,140,PG-13,Action,Adventure,Sci-Fi
tt1950186,21,Ford v Ferrari,Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,2019,501000,8.1,152,PG-13,Action,Biography,Drama
tt5095030,22,Ant-Man and the Wasp,Ant-Man and the Wasp,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",2018,462000,7,118,PG-13,Action,Adventure,Comedy
tt2584384,23,Jojo Rabbit,Jojo Rabbit,"A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.",2019,455000,7.9,108,PG-13,Comedy,Drama,War
tt1302006,24,The Irishman,The Irishman,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",2019,442000,7.8,209,R,Biography,Crime,Drama
tt6146586,25,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",2019,440000,7.4,130,R,Action,Crime,Thriller
tt8772262,26,Midsommar,Midsommar,"A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.",2019,429000,7.1,148,R,Drama,Horror,Mystery
tt1517451,27,A Star Is Born,A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,2018,429000,7.6,136,R,Drama,Music,Romance
tt8367814,28,The Gentlemen,The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2019,419000,7.8,113,R,Action,Crime,""
